freq,c_resid,unit,nace_r2,geo\TIME_PERIOD	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 	2025 
A,DOM,NR,I551,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	420931 e	429780 e	349830 e	516654 e	643983 e	866132 e	919048 	: 
A,DOM,NR,I551,AL0	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	420931 e	429780 e	349830 e	516654 e	643983 e	866132 e	919048 	: 
A,DOM,NR,I551,AL01	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	73406 e	79173 e	53787 e	115399 e	131370 e	215112 e	211035 	: 
A,DOM,NR,I551,AL02	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	145656 e	145331 e	91549 e	138568 e	234250 e	264937 e	325201 	: 
A,DOM,NR,I551,AL03	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	201869 e	205276 e	204494 e	262687 e	278363 e	386082 e	382812 	: 
A,DOM,NR,I551,AT	4189792 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6261520 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8965539 	: 	9366270 	9574431 	9861284 	10331297 	10576133 	10912445 	11144380 	7236492 	7042059 	10504783 	11065201 	11249718 	11341726 
A,DOM,NR,I551,AT1	1059125 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1830794 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2865408 	: 	2938390 	3104220 	3186002 	3364886 	3420656 	3559982 	3637191 	1918661 	2016720 	3221558 	3559206 	3679216 	3671694 
A,DOM,NR,I551,AT11	123264 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	354735 	: 	: 	: 	: 	: 	: 	: 	: 	: 	582744 	: 	582316 	614318 	618203 	660057 	652148 	646009 	661347 	442586 	472751 	624333 	655499 	691515 	714336 
A,DOM,NR,I551,AT12	591241 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	832495 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1203947 	: 	1156469 	1194037 	1197176 	1242893 	1302498 	1361841 	1434511 	869029 	912950 	1294745 	1386451 	1354919 	1331016 
A,DOM,NR,I551,AT13	344620 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	643564 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1078717 	: 	1199605 	1295865 	1370623 	1461936 	1466010 	1552132 	1541333 	607046 	631019 	1302480 	1517256 	1632782 	1626342 
A,DOM,NR,I551,AT2	1263220 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1875285 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2479573 	: 	2610214 	2607925 	2704848 	2828807 	2908511 	2979144 	3064329 	2327074 	2200099 	3018153 	3025973 	3033897 	3046562 
A,DOM,NR,I551,AT21	504612 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	687789 	: 	: 	: 	: 	: 	: 	: 	: 	: 	870981 	: 	877240 	883575 	917881 	956896 	987105 	998730 	1013969 	871994 	821628 	1009379 	994942 	994894 	982525 
A,DOM,NR,I551,AT22	758608 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1187496 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1608592 	: 	1732974 	1724350 	1786967 	1871911 	1921406 	1980414 	2050360 	1455080 	1378471 	2008774 	2031031 	2039003 	2064037 
A,DOM,NR,I551,AT3	1867447 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2555441 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3620558 	: 	3817666 	3862286 	3970434 	4137604 	4246966 	4373319 	4442860 	2990757 	2825240 	4265072 	4480022 	4536605 	4623470 
A,DOM,NR,I551,AT31	500121 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	749039 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1044594 	: 	1097733 	1125593 	1148619 	1177209 	1213043 	1271908 	1306165 	819239 	844285 	1268193 	1369427 	1400376 	1416445 
A,DOM,NR,I551,AT32	629272 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	879741 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1303899 	: 	1390876 	1389951 	1418317 	1495990 	1548399 	1578564 	1623456 	1138621 	1014124 	1586252 	1628921 	1633698 	1678910 
A,DOM,NR,I551,AT33	554244 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	692957 	: 	: 	: 	: 	: 	: 	: 	: 	: 	991903 	: 	1029542 	1043949 	1085984 	1138915 	1162666 	1189493 	1191578 	826076 	756682 	1091487 	1129321 	1152727 	1168948 
A,DOM,NR,I551,AT34	183810 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	233704 	: 	: 	: 	: 	: 	: 	: 	: 	: 	280162 	: 	299515 	302793 	317514 	325490 	322858 	333354 	321661 	206821 	210149 	319140 	352353 	349804 	359167 
A,DOM,NR,I551,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2093205 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3882797 	: 	3947228 	4175387 	4304415 	4325879 	4491817 	4801151 	4953824 	2538218 	3995658 	5077156 	4989332 	5041290 	: 
A,DOM,NR,I551,BE1	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	245444 	: 	: 	: 	: 	: 	: 	: 	: 	: 	665785 	: 	665447 	: @C	676254 	634245 	728099 	789642 	871501 	297226 	452546 	816762 	873168 	886290 	: 
A,DOM,NR,I551,BE10	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	245444 	: 	: 	: 	: 	: 	: 	: 	: 	: 	665785 	: 	665447 	: @C	676254 	634245 	728099 	789642 	871501 	297226 	452546 	816762 	873168 	886290 	: 
A,DOM,NR,I551,BE2	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1200471 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2245613 	: 	2276667 	: @C	2582100 	2589622 	2639340 	2884713 	2959538 	1491981 	2397034 	2985103 	2892973 	2959936 	: 
A,DOM,NR,I551,BE21	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	177112 	: 	: 	: 	: 	: 	: 	: 	: 	: 	396345 	: 	417777 	: @C	501103 	496958 	530857 	558873 	585692 	241509 	434740 	585670 	599494 	642537 	: 
A,DOM,NR,I551,BE22	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	109493 	: 	: 	: 	: 	: 	: 	: 	: 	: 	315991 	: 	263425 	: @C	286856 	284704 	247046 	278474 	289252 	176805 	263651 	295846 	273597 	265972 	: 
A,DOM,NR,I551,BE23	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	96890 	: 	: 	: 	: 	: 	: 	: 	: 	: 	227177 	: 	231298 	: @C	270766 	281795 	289342 	309774 	312421 	158056 	276717 	374034 	361867 	372076 	: 
A,DOM,NR,I551,BE24	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	122052 	: 	: 	: 	: 	: 	: 	: 	: 	: 	323441 	: 	364648 	: @C	407054 	387839 	427674 	479910 	499132 	154954 	229776 	459172 	478784 	495405 	: 
A,DOM,NR,I551,BE25	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	694924 	: 	: 	: 	: 	: 	: 	: 	: 	: 	982659 	: 	999519 	: @C	1116321 	1138326 	1144421 	1257682 	1273041 	760657 	1192150 	1270381 	1179231 	1183946 	: 
A,DOM,NR,I551,BE3	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	647290 	: 	: 	: 	: 	: 	: 	: 	: 	: 	971399 	: 	1005114 	: @C	1046061 	1102012 	1124378 	1126796 	1122785 	749011 	1146078 	1275291 	1223191 	1195064 	: 
A,DOM,NR,I551,BE31	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	52011 	: 	: 	: 	: 	: 	: 	: 	: 	: 	121137 	: 	113583 	: @C	129926 	135083 	144018 	149052 	146345 	73912 	119457 	171320 	165707 	169843 	: 
A,DOM,NR,I551,BE32	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	49526 	: 	: 	: 	: 	: 	: 	: 	: 	: 	134910 	: 	153131 	: @C	197680 	227720 	243887 	235685 	234383 	123563 	217527 	247608 	233558 	234371 	: 
A,DOM,NR,I551,BE33	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	210134 	: 	: 	: 	: 	: 	: 	: 	: 	: 	307773 	: 	341811 	: @C	327086 	344816 	349012 	353498 	357970 	271182 	376706 	406918 	400950 	375983 	: 
A,DOM,NR,I551,BE34	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	212710 	: 	: 	: 	: 	: 	: 	: 	: 	: 	250081 	: 	245250 	: @C	234074 	235709 	222007 	217862 	217165 	166428 	264049 	259453 	239656 	226410 	: 
A,DOM,NR,I551,BE35	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	122909 	: 	: 	: 	: 	: 	: 	: 	: 	: 	157498 	: 	151339 	: @C	157295 	158684 	165454 	170699 	166922 	113926 	168339 	189992 	183320 	188457 	: 
A,DOM,NR,I551,BG	4299887 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1206771 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2241959 	: 	2610602 	2726631 	2937839 	3272541 	3261648 	3316894 	3516760 	2410179 	3241673 	3957934 	4347916 	4517480 	: 
A,DOM,NR,I551,BG3	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1211744 	: 	1291041 	1283506 	1400617 	1525913 	1495307 	1519639 	1620369 	1255485 	1624645 	1863809 	2013155 	2113387 	: 
A,DOM,NR,I551,BG31	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	199024 	: 	222330 	193381 	205121 	222111 	212039 	212432 	205862 	142941 	196649 	244134 	265435 	285925 	: 
A,DOM,NR,I551,BG32	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	252617 	: 	251440 	254053 	271081 	300223 	287094 	305005 	316877 	180507 	243870 	293111 	299590 	300017 	: 
A,DOM,NR,I551,BG33	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	391639 	: 	404377 	395352 	419599 	462737 	470009 	480745 	501540 	378837 	452451 	486163 	505614 	549229 	: 
A,DOM,NR,I551,BG34	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	368464 	: 	412894 	440720 	504816 	540842 	526165 	521457 	596090 	553200 	731675 	840401 	942516 	978216 	: 
A,DOM,NR,I551,BG4	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1030215 	: 	1319561 	1443125 	1537222 	1746628 	1766341 	1797255 	1896391 	1154694 	1617028 	2094125 	2334761 	2404093 	: 
A,DOM,NR,I551,BG41	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	535983 	: 	708614 	782283 	828826 	948793 	972140 	962914 	1005882 	554377 	822175 	1049316 	1171438 	1200562 	: 
A,DOM,NR,I551,BG42	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	494232 	: 	610947 	660842 	708396 	797835 	794201 	834341 	890509 	600317 	794853 	1044809 	1163323 	1203531 	: 
A,DOM,NR,I551,CH	4978657 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6177513 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7707080 	: 	7876619 	8016349 	8137268 	8287160 	8687529 	9006845 	9295897 	: 	10075103 	10599737 	10819790 	10958979 	: 
